Country,First Case Date,Hundreth Case Date,Fiftieth case per 1m Date,Days first 100,Days first fiftieth per 1m,
Thailand,13/01/2020,15/03/2020,,62,,
Timor-Leste,21/03/2020,,,,,
Togo,06/03/2020,29/04/2020,,54,,
Trinidad and Tobago,12/03/2020,04/04/2020,28/03/2020,23,16,
Tunisia,02/03/2020,24/03/2020,06/03/2020,22,4,
Turkey,10/03/2020,18/03/2020,27/03/2020,8,17,
Turks and Caicos,01/03/2020,,26/03/2020,,25,
UAE,29/01/2020,17/03/2020,29/03/2020,48,60,
Uganda,21/03/2020,06/05/2020,,46,,
UK,29/01/2020,05/03/2020,20/03/2020,36,51,
Ukraine,03/03/2020,24/03/2020,10/04/2020,21,38,
Uruguay,13/03/2020,20/03/2020,24/03/2020,7,11,
USA,19/01/2020,02/03/2020,20/03/2020,43,61,
Uzbekistan,15/03/2020,28/03/2020,21/04/2020,13,37,
Vatican City,06/03/2020,,06/03/2020,,0,
Venezuela,13/03/2020,25/03/2020,,12,,
Vietnam,23/01/2020,22/03/2020,,59,,
Western Sahara,04/04/2020,,,,,
Yemen,10/04/2020,15/04/2020,,5,,
Zambia,18/03/2020,30/04/2020,,43,,
Zimbabwe,20/03/2020,,,,,
